nama_kota,uhh,hls,rls,pengeluaran_kapita,capaian_ipm
Sukabumi_2019,70.73,12.22,7.02,8973,66.87
Cianjur_2019,69.91,11.98,6.97,8290,65.38
Bandung_2019,73.4,12.68,8.79,10502,72.41
Garut_2019,71.22,11.82,7.51,8099,66.22
Tasikmalaya_2019,69.21,12.52,7.17,8092,65.64
Ciamis_2019,71.57,13.79,7.69,9557,70.39
Kuningan_2019,73.35,12.1,7.38,9673,69.12
Cirebon_2019,71.82,12.24,6.71,10670,68.69
Majalengka_2019,69.97,12.21,7.09,9822,67.52
Sumedang_2019,72.29,12.96,8.27,10406,71.46
Indramayu_2019,71.37,12.24,5.99,10090,66.97
Subang_2019,72.13,11.69,6.85,11012,68.69
Purwakarta_2019,70.8,12.1,7.92,11819,70.67
Karawang_2019,71.98,12.08,7.65,11856,70.86
Bekasi_2019,73.56,13.08,8.84,11610,73.99
Bandung Barat_2019,72.18,11.86,8.18,8684,68.27
Pangandaran_2019,71.12,12.06,7.67,9423,68.21
Kota Bogor_2019,73.41,13.4,10.32,11825,76.23
Kota Sukabumi_2019,72.26,13.46,9.58,11204,74.31
Kota Bandung_2019,74.14,14.19,10.74,17254,81.62
Kota Cirebon_2019,72.13,13.11,9.9,11930,74.92
Kota Bekasi_2019,74.89,13.99,11.1,16157,81.59
Kota Depok_2019,74.31,13.91,11,15696,80.82
Kota Cimahi_2019,73.89,13.79,10.95,12448,78.11
Kota Tasikmalaya_2019,71.93,13.44,9.13,10414,72.84
Kota Banjar_2019,70.79,13.22,8.62,10705,71.75
Bogor_2020,71.17,12.48,8.3,10317,70.4
Sukabumi_2020,70.97,12.23,7.07,8823,66.88
Cianjur_2020,70.13,11.99,7.18,7980,65.36
Bandung_2020,73.53,12.69,8.96,10201,72.39
Garut_2020,71.41,11.91,7.52,7876,66.12
Tasikmalaya_2020,69.47,12.53,7.35,7852,65.67
Ciamis_2020,71.83,14.06,7.7,9288,70.49
Kuningan_2020,73.59,12.22,7.57,9459,69.38
Cirebon_2020,71.99,12.25,6.92,10342,68.75
Majalengka_2020,70.27,12.22,7.27,9521,67.59
Sumedang_2020,72.43,12.97,8.51,10217,71.64
Indramayu_2020,71.63,12.25,6.3,9859,67.29
Subang_2020,72.35,11.7,7.1,10790,68.95
Purwakarta_2020,70.99,12.11,8.09,11614,70.82
Karawang_2020,72.15,12.09,7.77,11315,70.66
Bekasi_2020,73.68,13.09,9.12,11241,74.07
Bandung Barat_2020,72.34,11.87,8.19,8455,68.08
Pangandaran_2020,71.4,12.07,7.74,9084,68.06
Kota Bogor_2020,73.61,13.41,10.33,11564,76.11
Kota Sukabumi_2020,72.42,13.47,9.59,10999,74.21
Kota Bandung_2020,74.28,14.2,10.75,16887,81.51
Kota Cirebon_2020,72.26,13.12,9.91,11800,74.89
Kota Bekasi_2020,75.01,14,11.16,15776,81.5
Kota Depok_2020,74.44,13.92,11.28,15281,80.97
Kota Cimahi_2020,74.03,13.8,10.96,12025,77.83
Kota Tasikmalaya_2020,72.15,13.45,9.33,10263,73.04
Kota Banjar_2020,70.99,13.23,8.63,10535,71.7
